,Day_of_Week,Director,Genre,Movie_Title,Studio,Adjusted_Gross_mill,Budget_mill,Gross_mill,IMDb_Rating,MovieLens_Rating,Overseas_mill,Overseas%,Profit_mill,Profit%,Runtime_min,US_mill,Gross_%_US,month,year
11,Friday,Morten Tyldum,biography,The Imitation Game,Weinstein Company,221.0,15.0,220.0,8.1,4.0,128.9,58.6,205.0,1366.7,114,91.1,41.4,Nov,2014
35,Friday,Brian Grant,crime,Immortals,Relativity Media,239.9,75.0,226.9,6.1,2.93,143.4,63.2,151.9,202.5,98,83.5,36.8,Nov,2011
43,Wednesday,Jose Padilha,sci-fi,RoboCop,Sony Picture Classics,243.8,120.0,242.7,7.1,3.34,184.1,75.9,122.7,102.3,117,58.6,24.1,Feb,2014
47,Friday,David Fincher,biography,The Social Network,Sony Picture Classics,245.3,40.0,224.9,7.8,3.67,128.0,56.9,184.9,462.3,120,97.0,43.1,Oct,2010
49,Tuesday,David Fincher,crime,The Girl with the Dragon Tattoo (2011),Sony Picture Classics,245.9,90.0,232.6,7.9,3.87,130.1,55.9,142.6,158.4,158,102.5,44.1,Dec,2011
52,Friday,Chris Columbus,fantasy,Percy Jackson & The Olympians: The Lightning Thief,Fox Searchlight Pictures,247.0,95.0,226.5,5.9,3.01,137.7,60.8,131.5,138.4,118,88.8,39.2,Feb,2010
91,Thursday,J. J. Abrams,thriller,Super 8,Paramount Pictures,275.0,50.0,260.1,7.1,3.53,133.1,51.2,210.1,420.2,112,127.0,48.8,Jun,2011
106,Friday,Steven Spielberg,biography,Lincoln,Buena Vista Studios,285.1,65.0,275.3,7.4,3.74,93.1,33.8,210.3,323.5,150,182.2,66.2,Nov,2012
121,Friday,Andrew Stanton,sci-fi,John Carter,Buena Vista Studios,294.3,263.7,284.1,6.6,3.27,211.1,74.3,20.4,7.7,132,73.1,25.7,Mar,2012
217,Friday,Louis Leterrier,thriller,Now You See Me,Lionsgate Films and Summit Entertainment,359.0,75.0,351.7,7.3,3.54,234.0,66.5,276.7,368.9,115,117.7,33.5,May,2013
276,Wednesday,Martin Scorsese,biography,The Wolf of Wall Street,Paramount Pictures,400.2,100.0,392.0,8.2,3.79,275.1,70.2,292.0,292.0,180,116.9,29.8,Dec,2013
331,Friday,Tom Hooper,biography,The King's Speech,Weinstein Company,451.7,15.0,414.2,8.1,4.02,275.4,66.5,399.2,2661.3,118,138.8,33.5,Nov,2010
378,Friday,Rupert Wyatt,sci-fi,Rise of the Planet of the Apes,Fox Searchlight Pictures,509.4,93.0,481.8,8.6,4.07,305.0,63.3,388.8,418.1,105,176.8,36.7,Aug,2011
407,Friday,Marc Forster,sci-fi,World War Z,Paramount Pictures,551.2,190.0,540.0,7.0,3.36,337.6,62.5,350.0,184.2,116,202.4,37.5,Jun,2013
475,Wednesday,Christopher Nolan,sci-fi,Interstellar,Paramount Pictures,675.7,165.0,672.7,8.7,4.05,484.7,72.1,507.7,307.7,169,188.0,27.9,Nov,2014
590,Friday,David Yates,fantasy,Harry Potter and the Deathly Hallows Part 2,WB,1418.2,125.0,1341.5,8.1,3.96,960.5,71.6,1216.5,973.2,130,381.0,28.4,Jul,2011
